attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24
5315,7,6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,1
6459,8,5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,1
5080,9,5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,1
5066,10,4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,1
4850,11,5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,1
5080,12,4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,1
4460,1,3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,0
3360,2,3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,6527,1,1
3966,3,4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,6527,1,9976,2,1
4213,4,3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,6527,1,9976,2,22520,3,1
3744,5,4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,6527,1,9976,2,22520,3,25623,4,1
4352,6,7161,7,9299,8,8441,9,8683,10,8396,11,8661,12,6527,1,9976,2,22520,3,25623,4,26160,5,1
12241,1,11235,2,14411,3,15375,4,14738,5,15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,0
11235,2,14411,3,15375,4,14738,5,15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,0
14411,3,15375,4,14738,5,15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,1
15375,4,14738,5,15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,0
14738,5,15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,0
15647,6,15226,7,16625,8,16784,9,16881,10,13699,11,13246,12,11234,1,11891,2,14445,3,7282,4,7163,5,0
