@relation trainingData

@attribute attr13200 numeric
@attribute attr13201 numeric
@attribute attr13202 numeric
@attribute attr13203 numeric
@attribute attr13204 numeric
@attribute attr13205 numeric
@attribute attr13206 numeric
@attribute attr13207 numeric
@attribute attr13208 numeric
@attribute attr13209 numeric
@attribute attr13210 numeric
@attribute attr13211 numeric
@attribute attr13212 numeric
@attribute attr13213 numeric
@attribute attr13214 numeric
@attribute attr13215 numeric
@attribute attr13216 numeric
@attribute attr13217 numeric
@attribute attr13218 numeric
@attribute attr13219 numeric
@attribute attr13220 numeric
@attribute attr13221 numeric
@attribute attr13222 numeric
@attribute attr13223 numeric
@attribute attr13224 numeric
@attribute attr13225 numeric
@attribute attr13226 numeric
@attribute attr13227 numeric
@attribute attr13228 numeric
@attribute attr13229 numeric
@attribute attr13230 numeric
@attribute attr13231 numeric
@attribute attr13232 numeric
@attribute attr13233 numeric
@attribute attr13234 numeric
@attribute attr13235 numeric
@attribute attr13236 numeric
@attribute attr13237 numeric
@attribute attr13238 numeric
@attribute attr13239 numeric
@attribute attr13240 numeric
@attribute attr13241 numeric
@attribute attr13242 numeric
@attribute attr13243 numeric
@attribute attr13244 numeric
@attribute attr13245 numeric
@attribute attr13246 numeric
@attribute attr13247 numeric
@attribute attr13248 numeric
@attribute attr13249 numeric
@attribute attr13250 numeric
@attribute attr13251 numeric
@attribute attr13252 numeric
@attribute attr13253 numeric
@attribute attr13254 numeric
@attribute attr13255 numeric
@attribute attr13256 numeric
@attribute attr13257 numeric
@attribute attr13258 numeric
@attribute attr13259 numeric
@attribute attr13260 numeric

@data
311,56,51,209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,489,57,53,165,57,53,410,57,53,0
209,57,51,135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,489,57,53,165,57,53,410,57,53,656,55,52,0
135,57,52,114,57,52,116,57,52,107,57,52,333,57,52,789,57,52,555,57,52,161,57,53,263,56,52,305,56,52,1393,56,52,1066,56,52,584,56,52,100,57,53,392,57,53,489,57,53,165,57,53,410,57,53,656,55,52,639,56,52,0
125,53,39,112,53,39,100,54,39,96,54,39,99,53,40,99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,0
112,53,39,100,54,39,96,54,39,99,53,40,99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,0
100,54,39,96,54,39,99,53,40,99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,173,54,43,0
96,54,39,99,53,40,99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,173,54,43,115,55,43,0
99,53,40,99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,173,54,43,115,55,43,100,55,43,0
99,53,40,461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,173,54,43,115,55,43,100,55,43,95,55,43,0
461,53,40,735,53,40,474,53,41,333,54,41,260,54,41,187,54,41,100,54,41,135,54,41,158,54,41,132,54,42,212,54,43,1077,54,43,694,53,43,435,55,43,194,55,43,173,54,43,115,55,43,100,55,43,95,55,43,103,55,44,0
